iter	Passed	Remaining
817	5327	1185
818	5334	1178
819	5339	1172
820	5349	1166
821	5354	1159
822	5359	1152
823	5365	1146
824	5370	1139
825	5375	1132
826	5380	1125
827	5386	1118
828	5392	1112
829	5397	1105
830	5405	1099
831	5414	1093
832	5424	1087
833	5429	1080
834	5436	1074
835	5444	1068
836	5450	1061
837	5455	1054
838	5463	1048
839	5468	1041
840	5473	1034
841	5479	1028
842	5484	1021
843	5491	1015
844	5497	1008
845	5507	1002
846	5513	995
847	5521	989
848	5526	982
849	5532	976
850	5537	969
851	5547	963
852	5553	957
853	5558	950
854	5568	944
855	5574	937
856	5579	930
857	5586	924
858	5592	918
859	5598	911
860	5603	904
861	5609	898
862	5614	891
863	5623	885
864	5630	878
865	5639	872
866	5646	866
867	5652	859
868	5659	853
869	5663	846
870	5669	839
871	5674	832
872	5680	826
873	5685	819
874	5690	812
875	5695	806
876	5705	800
877	5710	793
878	5715	786
879	5721	780
880	5726	773
881	5747	768
882	5752	762
883	5767	756
884	5772	750
885	5778	743
886	5784	736
887	5790	730
888	5796	723
889	5802	717
890	5809	710
891	5814	704
892	5820	697
893	5830	691
894	5837	684
895	5842	678
896	5848	671
897	5854	664
898	5858	658
899	5869	652
900	5873	645
901	5879	638
902	5885	632
903	5890	625
904	5898	619
905	5906	612
906	5912	606
907	5918	599
908	5930	593
909	5935	587
910	5942	580
911	5948	573
912	5955	567
913	5961	560
914	5968	554
915	5974	547
916	5980	541
917	5985	534
918	5992	528
919	5998	521
920	6003	514
921	6008	508
922	6014	501
923	6020	495
924	6026	488
925	6033	482
926	6039	475
927	6045	469
928	6051	462
929	6056	455
930	6061	449
931	6065	442
932	6072	436
933	6093	430
934	6105	424
935	6114	418
936	6119	411
937	6127	405
938	6131	398
939	6136	391
940	6144	385
941	6149	378
942	6155	372
943	6162	365
944	6168	358
945	6173	352
946	6178	345
947	6184	339
948	6190	332
949	6195	326
950	6200	319
951	6207	313
952	6212	306
953	6217	299
954	6228	293
955	6237	287
956	6242	280
957	6248	273
958	6253	267
959	6259	260
960	6267	254
961	6272	247
962	6279	241
963	6284	234
964	6291	228
965	6302	221
966	6307	215
967	6312	208
968	6321	202
969	6328	195
970	6335	189
971	6343	182
972	6348	176
973	6355	169
974	6365	163
975	6372	156
976	6377	150
977	6383	143
978	6388	137
979	6395	130
980	6403	124
981	6408	117
982	6413	110
983	6421	104
984	6426	97
985	6431	91
986	6438	84
987	6444	78
988	6451	71
989	6457	65
990	6461	58
991	6466	52
992	6473	45
993	6479	39
994	6485	32
995	6491	26
996	6497	19
997	6502	13
998	6507	6
999	6512	0
