iter	Passed	Remaining
608	3779	2426
609	3784	2419
610	3788	2412
611	3795	2406
612	3801	2399
613	3805	2392
614	3811	2385
615	3817	2380
616	3825	2374
617	3830	2367
618	3836	2361
619	3841	2354
620	3846	2347
621	3852	2341
622	3859	2335
623	3864	2328
624	3870	2322
625	3875	2315
626	3882	2309
627	3888	2303
628	3894	2296
629	3899	2290
630	3904	2283
631	3910	2276
632	3916	2270
633	3922	2264
634	3929	2258
635	3933	2251
636	3938	2244
637	3943	2237
638	3949	2230
639	3955	2225
640	3960	2218
641	3965	2211
642	3973	2206
643	3979	2199
644	3985	2193
645	3990	2186
646	3996	2180
647	4001	2173
648	4007	2167
649	4015	2161
650	4019	2155
651	4024	2148
652	4031	2142
653	4038	2136
654	4044	2130
655	4050	2123
656	4055	2117
657	4060	2110
658	4066	2103
659	4071	2097
660	4076	2090
661	4081	2083
662	4086	2077
663	4093	2071
664	4097	2064
665	4104	2058
666	4108	2051
667	4116	2046
668	4123	2040
669	4128	2033
670	4134	2027
671	4140	2020
672	4144	2013
673	4150	2007
674	4155	2000
675	4161	1994
676	4169	1989
677	4175	1983
678	4180	1976
679	4185	1969
680	4190	1963
681	4196	1956
682	4200	1949
683	4205	1942
684	4211	1936
685	4218	1930
686	4222	1923
687	4228	1917
688	4234	1911
689	4242	1905
690	4247	1899
691	4253	1892
692	4258	1886
693	4264	1880
694	4269	1873
695	4276	1867
696	4281	1861
697	4286	1854
698	4290	1847
699	4295	1840
700	4301	1834
701	4306	1828
702	4311	1821
703	4316	1814
704	4320	1808
705	4325	1801
706	4331	1794
707	4336	1788
708	4342	1782
709	4347	1775
710	4351	1768
711	4356	1762
712	4362	1755
713	4368	1749
714	4373	1743
715	4379	1737
716	4384	1730
717	4390	1724
718	4396	1718
719	4401	1711
720	4408	1705
721	4414	1699
722	4418	1692
723	4426	1687
724	4431	1680
725	4436	1674
726	4441	1668
727	4446	1661
728	4452	1655
729	4457	1648
730	4463	1642
731	4469	1636
732	4475	1630
733	4479	1623
734	4485	1617
735	4489	1610
736	4495	1604
737	4500	1597
738	4507	1591
739	4512	1585
740	4518	1579
741	4523	1572
742	4529	1566
743	4533	1560
744	4538	1553
745	4546	1547
746	4552	1541
747	4557	1535
748	4562	1529
749	4569	1523
750	4575	1517
751	4580	1510
752	4587	1504
753	4594	1498
754	4598	1492
755	4604	1486
756	4610	1479
757	4615	1473
758	4619	1466
759	4625	1460
760	4631	1454
761	4636	1448
762	4641	1441
763	4646	1435
764	4653	1429
765	4658	1423
766	4666	1417
767	4672	1411
768	4679	1405
769	4684	1399
770	4688	1392
771	4693	1386
772	4698	1379
773	4706	1374
774	4712	1368
775	4716	1361
776	4721	1355
777	4726	1348
778	4731	1342
779	4738	1336
780	4744	1330
781	4748	1323
782	4754	1317
783	4759	1311
784	4765	1305
785	4770	1298
786	4779	1293
787	4785	1287
788	4789	1280
789	4795	1274
790	4800	1268
791	4805	1261
792	4809	1255
793	4814	1248
794	4818	1242
795	4824	1236
796	4831	1230
797	4836	1224
798	4840	1217
799	4845	1211
800	4850	1205
801	4856	1199
802	4861	1192
803	4867	1186
804	4871	1180
805	4876	1173
806	4885	1168
807	4892	1162
808	4898	1156
809	4902	1150
810	4908	1143
811	4913	1137
812	4920	1131
813	4925	1125
814	4929	1118
815	4934	1112
816	4941	1106
817	4946	1100
818	4951	1094
819	4958	1088
820	4964	1082
821	4969	1076
822	4975	1069
823	4980	1063
824	4985	1057
825	4989	1051
826	4994	1044
827	4999	1038
828	5004	1032
829	5011	1026
830	5017	1020
831	5022	1014
832	5029	1008
833	5033	1001
834	5041	996
835	5047	990
836	5059	985
837	5063	978
838	5069	972
839	5076	966
840	5080	960
841	5088	954
842	5092	948
843	5097	942
844	5102	935
845	5106	929
846	5113	923
847	5119	917
848	5124	911
849	5131	905
850	5139	899
851	5145	893
852	5149	887
853	5156	881
854	5161	875
855	5165	869
856	5170	862
857	5175	856
858	5183	850
859	5187	844
860	5192	838
861	5197	832
862	5202	825
863	5207	819
864	5211	813
865	5216	807
866	5221	801
867	5227	794
868	5236	789
869	5241	783
870	5246	777
871	5251	770
872	5256	764
873	5262	758
874	5268	752
875	5274	746
876	5280	740
877	5286	734
878	5292	728
879	5296	722
880	5301	716
881	5306	709
882	5312	703
883	5316	697
884	5321	691
885	5326	685
886	5332	679
887	5338	673
888	5342	667
889	5347	660
890	5353	654
891	5360	649
892	5365	642
893	5370	636
894	5375	630
895	5382	624
896	5387	618
897	5395	612
898	5402	606
899	5406	600
900	5412	594
901	5420	588
902	5425	582
903	5430	576
904	5435	570
905	5442	564
906	5447	558
907	5452	552
908	5457	546
909	5462	540
910	5467	534
911	5473	528
912	5478	522
913	5483	515
914	5491	510
915	5496	504
916	5501	497
917	5506	491
918	5514	486
919	5519	479
920	5525	473
921	5531	467
922	5535	461
923	5541	455
924	5545	449
925	5554	443
926	5559	437
927	5566	431
928	5572	425
929	5577	419
930	5581	413
931	5590	407
932	5595	401
933	5600	395
934	5605	389
935	5614	383
936	5619	377
937	5623	371
938	5628	365
939	5634	359
940	5639	353
941	5644	347
942	5652	341
943	5657	335
944	5662	329
945	5667	323
946	5672	317
947	5678	311
948	5684	305
949	5690	299
950	5698	293
951	5703	287
952	5709	281
953	5715	275
954	5721	269
955	5727	263
956	5732	257
957	5738	251
958	5743	245
959	5748	239
960	5754	233
961	5760	227
962	5766	221
963	5771	215
964	5778	209
965	5786	203
966	5790	197
967	5796	191
968	5801	185
969	5807	179
970	5811	173
971	5818	167
972	5822	161
973	5830	155
974	5836	149
975	5840	143
976	5847	137
977	5853	131
978	5859	125
979	5865	119
980	5870	113
981	5875	107
982	5880	101
983	5886	95
984	5891	89
985	5896	83
986	5901	77
987	5908	71
988	5913	65
989	5919	59
990	5924	53
991	5930	47
992	5935	41
993	5939	35
994	5945	29
995	5950	23
996	5955	17
997	5961	11
998	5967	5
999	5972	0
